month,cases
1928-01-01,609
1928-02-01,1516
1928-03-01,4952
1928-04-01,7466
1928-05-01,11155
1928-06-01,7002
1928-07-01,1315
1928-08-01,189
1928-09-01,74
1928-10-01,119
1928-11-01,287
1928-12-01,324
1929-01-01,288
1929-02-01,241
1929-03-01,347
1929-04-01,378
1929-05-01,498
1929-06-01,324
1929-07-01,151
1929-08-01,69
1929-09-01,44
1929-10-01,42
1929-11-01,34
1929-12-01,121
1930-01-01,316
1930-02-01,781
1930-03-01,1870
1930-04-01,5309
1930-05-01,7499
1930-06-01,5386
1930-07-01,1386
1930-08-01,211
1930-09-01,107
1930-10-01,128
1930-11-01,219
1930-12-01,423
1931-01-01,750
1931-02-01,2010
1931-03-01,4858
1931-04-01,6172
1931-05-01,7095
1931-06-01,4238
1931-07-01,907
1931-08-01,165
1931-09-01,43
1931-10-01,54
1931-11-01,93
1931-12-01,134
1932-01-01,146
1932-02-01,270
1932-03-01,621
1932-04-01,1096
1932-05-01,2271
1932-06-01,2537
1932-07-01,1081
1932-08-01,288
1932-09-01,118
1932-10-01,149
1932-11-01,594
1932-12-01,1183
1933-01-01,1960
1933-02-01,4699
1933-03-01,9635
1933-04-01,9573
1933-05-01,6605
1933-06-01,2697
1933-07-01,601
1933-08-01,139
1933-09-01,50
1933-10-01,55
1933-11-01,71
1933-12-01,131
1934-01-01,133
1934-02-01,168
1934-03-01,431
1934-04-01,652
1934-05-01,1414
1934-06-01,1317
1934-07-01,422
1934-08-01,95
1934-09-01,47
1934-10-01,45
1934-11-01,86
1934-12-01,205
1935-01-01,508
1935-02-01,1576
1935-03-01,4357
1935-04-01,6630
1935-05-01,6813
1935-06-01,5182
1935-07-01,1975
1935-08-01,358
1935-09-01,67
1935-10-01,136
1935-11-01,333
1935-12-01,555
1936-01-01,1426
1936-02-01,4054
1936-03-01,7376
1936-04-01,8792
1936-05-01,8247
1936-06-01,4738
1936-07-01,1143
1936-08-01,213
1936-09-01,87
1936-10-01,99
1936-11-01,154
1936-12-01,219
1937-01-01,235
1937-02-01,365
1937-03-01,1075
1937-04-01,2253
1937-05-01,3546
1937-06-01,3058
1937-07-01,880
1937-08-01,247
1937-09-01,84
1937-10-01,90
1937-11-01,136
1937-12-01,122
1938-01-01,519
1938-02-01,1585
1938-03-01,5713
1938-04-01,10018
1938-05-01,8634
1938-06-01,6253
1938-07-01,1231
1938-08-01,239
1938-09-01,75
1938-10-01,56
1938-11-01,110
1938-12-01,171
1939-01-01,224
1939-02-01,219
1939-03-01,361
1939-04-01,517
1939-05-01,969
1939-06-01,738
1939-07-01,274
1939-08-01,110
1939-09-01,36
1939-10-01,54
1939-11-01,60
1939-12-01,91
1940-01-01,90
1940-02-01,207
1940-03-01,268
1940-04-01,533
1940-05-01,1365
1940-06-01,1906
1940-07-01,1269
1940-08-01,307
1940-09-01,151
1940-10-01,354
1940-11-01,1050
1940-12-01,2996
1941-01-01,6336
1941-02-01,13226
1941-03-01,25826
1941-04-01,22741
1941-05-01,8195
1941-06-01,2527
1941-07-01,436
1941-08-01,100
1941-09-01,63
1941-10-01,67
1941-11-01,55
1941-12-01,74
1942-01-01,137
1942-02-01,169
1942-03-01,233
1942-04-01,404
1942-05-01,557
1942-06-01,387
1942-07-01,127
1942-08-01,60
1942-09-01,34
1942-10-01,45
1942-11-01,49
1942-12-01,59
1943-01-01,232
1943-02-01,877
1943-03-01,2174
1943-04-01,3855
1943-05-01,5724
1943-06-01,5760
1943-07-01,1759
1943-08-01,453
1943-09-01,142
1943-10-01,300
1943-11-01,676
1943-12-01,1675
1944-01-01,2567
1944-02-01,5242
1944-03-01,8498
1944-04-01,5458
1944-05-01,2779
1944-06-01,1151
1944-07-01,182
1944-08-01,63
1944-09-01,21
1944-10-01,26
1944-11-01,30
1944-12-01,31
1945-01-01,60
1945-02-01,82
1945-03-01,171
1945-04-01,207
1945-05-01,221
1945-06-01,358
1945-07-01,194
1945-08-01,68
1945-09-01,18
1945-10-01,79
1945-11-01,181
1945-12-01,231
1946-01-01,809
1946-02-01,2022
1946-03-01,5014
1946-04-01,6597
1946-05-01,4759
1946-06-01,2191
1946-07-01,596
1946-08-01,107
1946-09-01,68
1946-10-01,56
1946-11-01,75
1946-12-01,114
1947-01-01,254
1947-02-01,379
1947-03-01,669
1947-04-01,1141
1947-05-01,1682
1947-06-01,1613
1947-07-01,854
1947-08-01,202
1947-09-01,88
1947-10-01,174
1947-11-01,234
1947-12-01,625
1948-01-01,1709
1948-02-01,3319
1948-03-01,6807
1948-04-01,6909
1948-05-01,5481
1948-06-01,3548
1948-07-01,802
1948-08-01,159
1948-09-01,64
1948-10-01,32
1948-11-01,47
1948-12-01,83
1949-01-01,169
1949-02-01,390
1949-03-01,629
1949-04-01,693
1949-05-01,1008
1949-06-01,960
1949-07-01,454
1949-08-01,234
1949-09-01,133
1949-10-01,100
1949-11-01,214
1949-12-01,483
1950-01-01,1055
1950-02-01,1930
1950-03-01,3776
1950-04-01,4777
1950-05-01,5428
1950-06-01,3440
1950-07-01,1012
1950-08-01,232
1950-09-01,73
1950-10-01,89
1950-11-01,90
1950-12-01,88
1951-01-01,282
1951-02-01,381
1951-03-01,549
1951-04-01,1079
1951-05-01,1915
1951-06-01,1770
1951-07-01,948
1951-08-01,380
1951-09-01,184
1951-10-01,246
1951-11-01,515
1951-12-01,1360
1952-01-01,3707
1952-02-01,6441
1952-03-01,8616
1952-04-01,7754
1952-05-01,4945
1952-06-01,2288
1952-07-01,478
1952-08-01,75
1952-09-01,40
1952-10-01,68
1952-11-01,57
1952-12-01,146
1953-01-01,224
1953-02-01,246
1953-03-01,334
1953-04-01,518
1953-05-01,645
1953-06-01,600
1953-07-01,522
1953-08-01,215
1953-09-01,164
1953-10-01,209
1953-11-01,318
1953-12-01,1122
1954-01-01,2443
1954-02-01,4876
1954-03-01,10154
1954-04-01,10720
1954-05-01,6136
1954-06-01,4699
1954-07-01,1335
1954-08-01,249
1954-09-01,63
1954-10-01,59
1954-11-01,115
1954-12-01,188
1955-01-01,364
1955-02-01,603
1955-03-01,1305
1955-04-01,1853
1955-05-01,1865
1955-06-01,1797
1955-07-01,760
1955-08-01,245
1955-09-01,103
1955-10-01,98
1955-11-01,242
1955-12-01,477
1956-01-01,594
1956-02-01,1242
1956-03-01,2461
1956-04-01,4336
1956-05-01,6064
1956-06-01,4247
1956-07-01,1419
1956-08-01,441
1956-09-01,110
1956-10-01,169
1956-11-01,188
1956-12-01,375
1957-01-01,823
1957-02-01,789
1957-03-01,949
1957-04-01,1287
1957-05-01,1949
1957-06-01,1840
1957-07-01,845
1957-08-01,335
1957-09-01,176
1957-10-01,170
1957-11-01,231
1957-12-01,832
1958-01-01,1878
1958-02-01,3544
1958-03-01,6410
1958-04-01,7634
1958-05-01,4832
1958-06-01,2594
1958-07-01,893
1958-08-01,204
1958-09-01,86
1958-10-01,58
1958-11-01,47
1958-12-01,92
1959-01-01,199
1959-02-01,323
1959-03-01,537
1959-04-01,683
1959-05-01,716
1959-06-01,753
1959-07-01,567
1959-08-01,174
1959-09-01,144
1959-10-01,97
1959-11-01,187
1959-12-01,837
1960-01-01,2070
1960-02-01,4097
1960-03-01,6780
1960-04-01,6492
1960-05-01,3387
1960-06-01,1822
1960-07-01,469
1960-08-01,129
1960-09-01,51
1960-10-01,43
1960-11-01,78
1960-12-01,105
1961-01-01,227
1961-02-01,298
1961-03-01,374
1961-04-01,384
1961-05-01,644
1961-06-01,683
1961-07-01,343
1961-08-01,185
1961-09-01,109
1961-10-01,123
1961-11-01,383
1961-12-01,1043
1962-01-01,1725
1962-02-01,3056
1962-03-01,5839
1962-04-01,7875
1962-05-01,6555
1962-06-01,2866
1962-07-01,1075
1962-08-01,266
1962-09-01,58
1962-10-01,86
1962-11-01,125
1962-12-01,145
1963-01-01,184
1963-02-01,260
1963-03-01,476
1963-04-01,782
1963-05-01,1200
1963-06-01,1289
1963-07-01,901
1963-08-01,362
1963-09-01,168
1963-10-01,221
1963-11-01,423
1963-12-01,1140
1964-01-01,2053
1964-02-01,2267
1964-03-01,2859
1964-04-01,3338
1964-05-01,2578
1964-06-01,1486
1964-07-01,427
1964-08-01,120
1964-09-01,49
1964-10-01,59
1964-11-01,50
1964-12-01,149
1965-01-01,120
1965-02-01,126
1965-03-01,150
1965-04-01,354
1965-05-01,419
1965-06-01,656
1965-07-01,331
1965-08-01,174
1965-09-01,83
1965-10-01,120
1965-11-01,395
1965-12-01,1199
1966-01-01,1635
1966-02-01,1965
1966-03-01,2349
1966-04-01,1253
1966-05-01,655
1966-06-01,244
1966-07-01,109
1966-08-01,59
1966-09-01,24
1966-10-01,34
1966-11-01,30
1966-12-01,24
1967-01-01,39
1967-02-01,52
1967-03-01,57
1967-04-01,78
1967-05-01,83
1967-06-01,79
1967-07-01,35
1967-08-01,28
1967-09-01,18
1967-10-01,11
1967-11-01,27
1967-12-01,22
1968-01-01,39
1968-02-01,70
1968-03-01,146
1968-04-01,292
1968-05-01,494
1968-06-01,441
1968-07-01,347
1968-08-01,225
1968-09-01,97
1968-10-01,91
1968-11-01,98
1968-12-01,105
1969-01-01,278
1969-02-01,384
1969-03-01,768
1969-04-01,1301
1969-05-01,1019
1969-06-01,788
1969-07-01,267
1969-08-01,76
1969-09-01,31
1969-10-01,39
1969-11-01,36
1969-12-01,46
1970-01-01,70
1970-02-01,106
1970-03-01,133
1970-04-01,185
1970-05-01,154
1970-06-01,109
1970-07-01,65
1970-08-01,39
1970-09-01,40
1970-10-01,52
1970-11-01,58
1970-12-01,143
1971-01-01,283
1971-02-01,557
1971-03-01,818
1971-04-01,844
1971-05-01,501
1971-06-01,472
1971-07-01,206
1971-08-01,60
1971-09-01,23
1971-10-01,22
1971-11-01,12
1971-12-01,21
1972-01-01,28
1972-02-01,35
1972-03-01,40
1972-04-01,31
1972-05-01,41
1972-06-01,32
