node,BreitbartNews,FiveThirtyEight,csmonitor,MotherJones,NRO,dailykos,theblaze,thenation,DRUDGE_REPORT,WSJ,washingtonpost,FoxNews,NPR
144,0,1,0,0,0,0,0,0,0,0,0,0,0
222,0,1,0,0,0,0,0,0,0,0,0,0,1
233,0,1,0,0,0,0,0,0,0,1,0,0,0
1192,0,1,0,0,0,0,0,0,0,0,0,0,0
1898,0,1,0,0,0,0,0,0,0,0,0,0,0
1927,0,1,0,1,0,0,0,0,0,0,0,0,0
2052,0,1,0,0,0,0,0,0,1,0,0,0,0
2059,0,1,0,0,0,0,0,0,1,1,1,0,1
2100,0,1,0,1,0,0,0,1,0,0,0,0,0
2387,1,0,0,0,0,0,0,0,1,0,0,1,0
2489,0,1,0,0,0,0,0,0,0,0,0,0,0
2617,0,1,0,0,0,0,0,0,0,0,0,0,0
3020,0,1,0,0,0,0,0,0,0,1,1,0,0
3308,0,1,0,0,0,0,0,0,0,0,0,0,0
3459,0,1,0,0,0,0,0,0,0,0,0,0,0
3779,0,1,0,0,0,0,0,0,0,0,0,0,0
4045,0,0,0,1,0,0,0,1,0,0,0,0,0
4739,0,1,0,0,0,0,0,0,0,0,0,0,0
5160,0,0,0,0,1,0,0,0,1,1,1,1,1
5492,1,0,0,0,0,0,0,0,1,1,1,0,1
5615,0,1,0,0,0,0,0,1,0,0,0,1,1
5859,0,1,0,0,0,0,0,0,0,0,0,0,0
5866,0,1,0,0,0,0,0,0,0,0,0,0,0
6136,0,1,0,0,0,0,0,0,0,0,0,0,1
6352,0,1,0,0,0,0,0,0,0,0,0,0,0
6412,0,1,0,0,0,0,0,0,0,1,0,0,0
6780,0,1,0,0,0,0,0,0,0,0,1,0,0
7887,0,1,1,1,0,0,0,1,0,1,1,0,1
7957,0,1,0,0,0,1,0,0,1,1,1,0,1
8175,0,1,0,0,0,0,0,0,0,1,1,0,1
8293,0,1,0,1,0,0,0,0,0,0,0,0,1
8555,0,0,0,0,1,0,1,0,0,1,0,1,0
9132,0,1,0,0,0,0,0,0,0,0,0,0,1
9990,0,1,0,0,0,0,0,0,0,0,0,0,0
10193,0,1,0,0,0,0,0,0,0,0,1,0,0
10446,0,1,0,0,0,0,0,0,0,0,1,0,1
11842,0,1,0,0,0,0,0,0,1,1,0,1,0
12137,0,0,0,0,0,1,0,0,0,1,1,0,1
12245,0,1,0,0,0,0,0,0,0,0,0,0,0
12534,0,1,0,0,0,0,0,0,0,0,0,0,0
12663,0,1,0,0,0,0,0,0,0,0,0,0,0
12821,0,1,1,1,0,1,0,1,0,1,1,0,1
12986,0,1,0,0,0,0,0,0,0,0,0,0,0
13181,0,1,0,0,0,0,0,0,0,1,0,0,0
13894,0,1,0,0,0,0,0,0,0,0,0,0,0
14032,0,1,0,0,0,0,0,0,0,0,0,0,1
14468,0,1,0,0,0,0,0,0,0,0,0,0,0
14474,0,1,0,0,0,0,0,0,1,1,1,0,1
14623,1,0,0,1,0,1,1,1,1,1,1,1,1
15068,0,1,0,0,0,0,0,0,0,0,0,0,0
15242,0,1,0,0,0,0,0,0,1,0,0,0,0
15329,0,1,0,1,0,1,0,1,0,1,1,0,1
15856,0,1,0,0,0,0,0,0,0,0,0,0,1
15861,0,1,0,0,0,0,0,0,0,0,0,0,0
16314,0,1,0,1,0,0,0,0,0,1,0,0,0
16351,0,1,0,0,0,0,0,0,0,0,0,0,0
16787,0,1,0,0,0,0,0,0,0,0,0,0,0
17022,0,1,0,0,0,0,0,0,0,1,1,0,0
17163,0,1,0,0,0,0,0,1,0,1,1,1,1
17194,0,1,0,0,0,0,0,0,0,1,1,0,0
17573,0,1,0,0,0,0,0,0,0,0,0,0,0
17809,0,1,0,0,0,0,0,0,0,1,0,0,0
17952,0,1,0,0,0,0,0,0,0,0,0,0,0
17973,0,1,0,0,0,0,0,0,0,0,0,0,0
18172,0,1,0,0,0,0,0,0,0,0,0,0,0
19663,0,1,0,0,0,0,0,0,0,0,0,0,1
20230,1,0,0,0,0,0,1,0,0,1,0,1,0
20635,0,1,0,0,0,0,0,0,0,0,0,0,0
20728,0,1,0,0,0,0,0,0,0,0,0,0,1
20742,1,0,0,0,0,0,1,0,1,1,0,1,0
20821,1,0,0,0,0,0,1,0,1,1,1,1,1
20931,1,0,0,0,1,0,1,0,1,1,0,1,0
21002,0,1,0,0,0,0,0,0,0,0,0,0,0
21005,0,1,0,0,0,0,0,0,0,1,1,0,1
