Beer_Name,IBU,ABV,Rating,Beer_Type
Guinness Draught,45,4.2,3.792,Stout
Breakfast Stout,60,8.3,4.145,Stout
Milk Stout Nitro,25,6.0,3.951,Stout
Dragon’s Milk,31,11.0,4.062,Stout
Old Rasputin,75,9.0,4.018,Stout
Bourbon County Brand Stout,60,15.2,4.404,Stout
Kentucky Breakfast Stout (KBS),70,12.3,4.444,Stout
Young's Double Chocolate Stout,25,5.2,3.694,Stout
Shake Chocolate Porter,39,5.9,3.997,Stout
Rübæus,15,5.7,3.728,Stout
Ten FIDY,65,10.5,4.1,Stout
Bomb!,65,13.0,4.316,Stout
Milk Stout,25,6.0,3.8939999999999997,Stout
Warlock,40,8.6,3.966,Stout
Organic Chocolate Stout,28,5.0,4.075,Stout
Murphy's Irish Stout,34,4.0,3.5060000000000002,Stout
Stone Xocoveza,50,8.1,4.087,Stout
Yeti,75,9.5,3.923,Stout
Crème Brûlée,55,10.0,3.949,Stout
Speedway Stout,70,12.0,4.2,Stout
Black Chocolate Stout,51,10.0,3.847,Stout
Stone Coffee Milk Stout,40,5.0,3.764,Stout
Imperial Stout,75,10.5,4.07,Stout
Cappuccino Stout,29,9.1,3.823,Stout
Big Bad Baptist,65,12.1,4.209,Stout
Canadian Breakfast Stout (CBS),45,11.6,4.513999999999999,Stout
Oatmeal Stout,32,5.0,3.8160000000000003,Stout
Obsidian Stout,55,6.4,3.7910000000000004,Stout
Peanut Butter Milk Stout,30,5.3,4.003,Stout
Storm King,65,9.1,3.7310000000000003,Stout
Wild Turkey Bourbon Barrel Stout,14,6.9,3.872,Stout
Neapolitan Milk Stout,37,6.0,3.845,Stout
Velvet Merlin,27,5.5,3.873,Stout
Moo-Hoo Chocolate Milk Stout,30,6.0,3.905,Stout
The Poet,37,5.2,3.77,Stout
Choklat,65,10.0,4.128,Stout
Jet Black Heart,30,4.7,3.7110000000000003,Stout
Narwhal Imperial Stout,60,10.2,3.971,Stout
Blackout Stout,50,9.9,3.985,Stout
Koko Brown Ale,28,5.5,3.65,Stout
JavaHead Stout,60,7.5,3.702,Stout
Wake-n-Bake Coffee Oatmeal Imperial Stout,50,9.4,4.04,Stout
Black House,40,5.8,3.9210000000000003,Stout
2X Stout (Double Milk Stout),55,7.5,3.781,Stout
Liquid Bliss,30,6.1,3.86,Stout
Milk Stout,25,5.7,3.779,Stout
Chocolate Sombrero,6,9.0,3.793,Stout
Aon Pecan Mud Cake,60,11.0,4.263,Stout
Guinness Foreign Extra Stout,47,7.5,3.674,Stout
Buffalo Sweat Oatmeal Cream Stout,14,5.0,3.838,Stout
Plead The 5th Imperial Stout,41,11.0,4.135,Stout
Barney Flats Oatmeal Stout,15,5.8,3.617,Stout
Nitro Oatmeal Stout,38,4.5,3.786,Stout
Chocolate Stout,69,5.8,3.815,Stout
Shakespeare Oatmeal Stout,60,5.7,3.722,Stout
Kentucky Bourbon Barrel Coffee Stout,18,8.0,3.7460000000000004,Stout
Double Stout,45,8.8,3.843,Stout
Barrel-Aged Ten FIDY Imperial Stout Aged in Bourbon Barrels,75,12.9,4.408,Stout
Péché Mortel,76,9.5,4.131,Stout
Red Velvet,33,5.5,3.537,Stout
Manta Ray,70,8.5,3.9010000000000002,Stout
Coffee Stout,53,6.2,3.718,Stout
Pearl Necklace Chesapeake Stout,35,5.5,3.574,Stout
Dark Truth Stout,60,9.7,3.8560000000000003,Stout
Imperial Stout,72,9.9,3.915,Stout
